pnt_num,y,x,z
9,7393.431,1366.116,174
9,7382.845,1393.906,174
9,7369.652,1432.13,174
9,7362.16,1468.799,174
9,7353.058,1491.328,174
9,7335.035,1529.502,174
9,7319.6,1560.305,174
9,7312.588,1573.816,174
9,7302.526,1592.404,174
9,7293.763,1605.736,174
9,7285.853,1616.159,174
9,7268.975,1637.653,174
9,7248.235,1663.52,174
9,7229.914,1686.018,174
9,7215.557,1701.075,174
9,7200.696,1709.013,174
9,7178.373,1712.033,174
9,7141.74,1712.204,174
9,7084.384,1711.069,174
9,7000,1710.039,174
10,7000,1719.547,176
10,7084.448,1719.686,176
10,7142.25,1720.128,176
10,7180.095,1718.915,176
10,7204.532,1714.221,176
10,7221.562,1704.745,176
10,7237.047,1689.316,176
10,7254.526,1668.395,176
10,7274.19,1644.231,176
10,7290.508,1623.411,176
10,7298.468,1612.833,176
10,7308.375,1597.765,176
10,7319.868,1576.927,176
10,7327.556,1562.369,176
10,7343.461,1531.099,176
10,7361.424,1494.181,176
10,7371.306,1473.447,176
10,7384.782,1444.106,176
10,7394.35,1422.534,176
10,7399.01,1412.007,176
10,7405.769,1397.212,176
10,7415.608,1376.676,176
10,7436.494,1327.329,176
10,7444.691,1306.511,176
10,7457.64,1288.977,176
10,7472.444,1275.566,176
10,7475.485,1267.464,176
10,7472.493,1261.244,176
10,7467.101,1254.816,176
10,7455.893,1252.844,176
10,7440.792,1256.409,176
10,7415.349,1262.015,176
10,7396.207,1270.298,176
10,7366.264,1280.83,176
10,7338.056,1286.819,176
10,7316.366,1293.617,176
10,7306.126,1297.74,176
10,7293.551,1306.65,176
10,7276.638,1324.8,176
10,7265.123,1337.67,176
10,7242.355,1363.176,176
10,7221.927,1386.173,176
10,7211.535,1397.553,176
10,7196.946,1411.622,176
10,7176.56,1427.914,176
10,7162.451,1438.721,176
10,7134.859,1458.394,176
10,7107.036,1476.563,176
10,7081.26,1490.646,176
10,7049.229,1504.612,176
10,7000,1524.064,176
11,7000,1515.706,178
11,7037.152,1500.973,178
11,7070.046,1486.524,178
11,7101.218,1469.868,178
11,7132.153,1449.638,178
11,7160.138,1428.97,178
11,7173.32,1418.533,178
11,7191.801,1403.238,178
11,7204.34,1391.01,178
11,7213.508,1380.897,178
11,7232.066,1359.916,178
11,7254.28,1335.037,178
11,7266.464,1321.519,178
11,7285.479,1301.231,178
11,7301.107,1288.887,178
11,7313.008,1282.546,178
11,7337.342,1272.3,178
11,7368.382,1265.213,178
